iter	Passed	Remaining
837	199058	38481
838	199262	38237
839	199461	37992
840	199672	37750
841	199872	37505
842	200097	37266
843	200307	37023
844	200509	36779
845	200716	36537
846	200914	36292
847	201128	36051
848	201339	35809
849	201546	35566
850	201747	35323
851	201939	35078
852	202153	34837
853	202360	34595
854	202570	34353
855	202777	34112
856	202967	33867
857	203183	33627
858	203390	33385
859	203603	33144
860	203800	32901
861	203994	32658
862	204189	32414
863	204387	32172
864	204592	31930
865	204782	31686
866	204978	31444
867	205181	31202
868	205400	30963
869	205596	30721
870	205792	30478
871	206013	30240
872	206262	30006
873	206474	29766
874	206661	29523
875	206856	29281
876	207077	29042
877	207276	28801
878	207471	28559
879	207682	28320
880	207898	28081
881	208093	27840
882	208297	27599
883	208491	27358
884	208684	27117
885	208883	26876
886	209072	26634
887	209292	26397
888	209504	26158
889	209692	25917
890	209891	25676
891	210082	25436
892	210289	25197
893	210484	24956
894	210674	24715
895	210894	24478
896	211115	24241
897	211328	24003
898	211520	23763
899	211720	23524
900	211922	23285
901	212115	23045
902	212321	22807
903	212555	22572
904	212770	22334
905	212964	22095
906	213157	21856
907	213368	21618
908	213565	21380
909	213768	21141
910	213982	20905
911	214210	20669
912	214418	20431
913	214608	20192
914	214799	19954
915	214993	19715
916	215189	19477
917	215379	19238
918	215591	19002
919	215803	18765
920	215990	18526
921	216189	18289
922	216384	18051
923	216587	17814
924	216785	17577
925	216976	17339
926	217217	17105
927	217417	16868
928	217765	16643
929	217955	16405
930	218151	16168
931	218355	15931
932	218576	15696
933	218813	15462
934	219038	15227
935	219229	14990
936	219434	14753
937	219641	14517
938	219843	14281
939	220052	14045
940	220245	13809
941	220489	13575
942	220703	13340
943	220894	13103
944	221081	12867
945	221282	12631
946	221477	12395
947	221683	12159
948	221902	11925
949	222124	11690
950	222324	11455
951	222515	11219
952	222715	10983
953	222913	10748
954	223128	10513
955	223355	10279
956	223572	10045
957	223781	9810
958	223973	9575
959	224167	9340
960	224362	9105
961	224561	8870
962	224761	8635
963	224955	8400
964	225157	8166
965	225344	7931
966	225556	7697
967	225790	7464
968	226015	7230
969	226204	6996
970	226404	6761
971	226593	6527
972	226796	6293
973	226976	6058
974	227183	5825
975	227402	5591
976	227606	5358
977	227794	5124
978	227986	4890
979	228183	4656
980	228383	4423
981	228587	4189
982	228824	3957
983	229041	3724
984	229230	3490
985	229426	3257
986	229622	3024
987	229824	2791
988	230010	2558
989	230209	2325
990	230444	2092
991	230659	1860
992	230896	1627
993	231101	1394
994	231293	1162
995	231486	929
996	231688	697
997	231902	464
998	232266	232
999	232470	0
